title,price,img
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 500GB, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",33642 Сом,https://enter.kg/images/stories/virtuemart/product/1) s145_3478.jpg
"Ноутбук Lenovo L3 15IML05 Intel Pentium Gold 6405U (2.40Ghz), 8GB, 240GB SSD, Int VGA, no DVD±RW, 15.6"" LED, M.2 NVMe, WiFi, Bluetooth, Win10 HOME Eng-Ru, серебро андрей (7)",33780 Сом,https://enter.kg/images/stories/virtuemart/product/1) l3_3399_5194.webp
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,SSD 240GB, 15.6""FHD RUS BLACK",34026 Сом,https://enter.kg/images/stories/virtuemart/product/1)  ideapad l3 business black_2989.png
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",34123 Сом,https://enter.kg/images/stories/virtuemart/product/1_2425_3957.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 500GB, 15.6""FHD RUS, HDMI, BLACK",34123 Сом,https://enter.kg/images/stories/virtuemart/product/1_4434_5759.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,8GB,1TB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",34315 Сом,https://enter.kg/images/stories/virtuemart/product/1_3737.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK",34507 Сом,https://enter.kg/images/stories/virtuemart/product/1_1685.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 480GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",34507 Сом,https://enter.kg/images/stories/virtuemart/product/1_8448.jpg
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 256GB SSD, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",34603 Сом,https://enter.kg/images/stories/virtuemart/product/1) s 145_2702.jpg
"Notebook Lenovo IdeaPad L3 (15ITL05) 15.6"" FHD (1920x1080), Intel Core i3-1115G4 (3.0GHz-4.1GHz), 4GB DDR4, 128GB SSD PCIe NVMe, Intel UHD Graphics, WiFi ac, BT, Cam, Keyboard (Eng+Rus), Windows 10 Home, Abyss Blue",34603 Сом,https://enter.kg/images/stories/virtuemart/product/1_6655_2012.jpg
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/1TB/15.6""/DVDRW/1B-Star Grey/Win10/Rus+Eng",34603 Сом,https://enter.kg/images/stories/virtuemart/product/1_4771_6308.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",34795 Сом,https://enter.kg/images/stories/virtuemart/product/1_7803.jpg
"Lenovo IdeaPad L340-15API ATHLON 300U 2.4-3.3GHz,4GB,SSD 120GB, 15.6""HD RUS BLACK",34892 Сом,https://enter.kg/images/stories/virtuemart/product/1) l340 15 оычный._1110.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",34892 Сом,https://enter.kg/images/stories/virtuemart/product/2_5958.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 480GB, 15.6""FHD RUS, HDMI, BLACK",34988 Сом,https://enter.kg/images/stories/virtuemart/product/1_4022_3030.jpg
"Lenovo Ideapad 3-15ITL6 Intel Core i3-1115G4 (up to 4.1Ghz), 15.6"" LED FULL HD (1920 x 1080), 4GB DDR4-3200Mhz, 128GB SSD, Intel UHD Graphics, WiFi, BT 5.0, HD 720P Cam, Eng-Rus, ARCTIC GREY",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_1469_8437.jpg
"Lenovo Ideapad 3-15ITL6 Intel Core i3-1115G4 (up to 4.1Ghz), 15.6"" LED FULL HD (1920 x 1080), 4GB DDR4-3200Mhz, 1TB, Intel UHD Graphics, WiFi, BT 5.0, HD 720P Cam, Eng-Rus, ARCTIC GREY.",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_7935_5606.jpg
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 120GB M.2 SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_6535.jpg
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 256GB M.2 NVMe PCIe, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_1391_5315.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_8218_5894.jpg
"Ноутбук HP 15-ef1071wm 234W8UA#ABA AMD Athlon Silver 3050U (2.30-3.20GHz), 4GB DDR4, 128GB SSD, AMD Radeon Graphics, 15.6"" HD (1366x768) LED, WiFi ac, BT 4.2, WC, CR, Win 11 Home, Bag, Русская клавиатура, Silver",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1_8919_3930.jpg
"Ноутбук HP 15s-eq1129ur 22V36EA#ACB AMD Athlon 3020e (1.20GHz-2.60GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics 3, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Grey",35084 Сом,https://enter.kg/images/stories/virtuemart/product/1473317_v04_b_1127.jpg
"Lenovo IdeaPad L340-15API ATHLON 300U 2.4-3.3GHz,4GB,1TB, 15.6""HD RUS BLACK",35180 Сом,https://enter.kg/images/stories/virtuemart/product/1) l340 15 оычный._6176.jpg
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 128GB SSD, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus в комплекте",35276 Сом,https://enter.kg/images/stories/virtuemart/product/1_7408.png
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 1TB, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus в комплекте",35276 Сом,https://enter.kg/images/stories/virtuemart/product/1_4683.png
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus",35276 Сом,https://enter.kg/images/stories/virtuemart/product/1 ) l3 plat_5390.jpg
